,artist_from_country,artist_id,artist_name
0,华语男歌手,1876,阿杜
1,华语男歌手,802016,安来宁
2,华语男歌手,1878,艾尔肯
3,华语男歌手,2422,阿鲲
4,华语男歌手,187295,Assen捷
5,华语男歌手,10998,爱乐团王超
6,华语男歌手,1879,安琥
7,华语男歌手,1881,阿木
8,华语男歌手,1873,阿宝
9,华语男歌手,860734,艾索
10,华语男歌手,1908,阿不都拉
11,华语男歌手,1058073,阿力木江·托合提
12,华语男歌手,947019,艾宝良
13,华语男歌手,1877,阿牛
14,华语男歌手,1886,艾斯卡尔
15,华语男歌手,1875,阿信
16,华语男歌手,1039722,阿明
17,华语男歌手,804159,阿力普
18,华语男歌手,1132013,A路人
19,华语男歌手,1081752,AlimjanTursun
20,华语男歌手,1885,阿炳
21,华语男歌手,1919,AP满人
22,华语男歌手,1945,安东阳
23,华语男歌手,1106124,阿杰729
24,华语男歌手,1054175,AiPi 
25,华语男歌手,1087200,AThree-Arslan
26,华语男歌手,1081335,Ablikim&nbsp;Zikrulla&nbsp;izbaRis
27,华语男歌手,784443,阿来
28,华语男歌手,1888,阿穆隆
29,华语男歌手,1047066,阿摩司
30,华语男歌手,1155078,安乐阳
31,华语男歌手,1980,安神
32,华语男歌手,1872,阿沁
33,华语男歌手,762462,阿见
34,华语男歌手,1132222,abduwali&nbsp;tohti
35,华语男歌手,727015,AL=六甲官锭
36,华语男歌手,1060224,Kadirya
37,华语男歌手,1049340,akbar ahmat ziba
38,华语男歌手,964311,阿良良木健
39,华语男歌手,1898,阿杰
40,华语男歌手,1921,安旭
41,华语男歌手,1893,阿里
42,华语男歌手,6713,AJ张杰
43,华语男歌手,229593,艾克拜尔
44,华语男歌手,1905,阿吉仔
45,华语男歌手,1882,阿强
46,华语男歌手,1990,安东尼
47,华语男歌手,1043417,阿权
48,华语男歌手,1896,阿沐
49,华语男歌手,1912,阿清
50,华语男歌手,857223,阿牛和强子
51,华语男歌手,1906,阿龙正罡
52,华语男歌手,1073078,Alex.Dai
53,华语男歌手,1084038,Akbar Kahriman
54,华语男歌手,1054144,Annco.Liu
55,华语男歌手,677006,阿普萨萨
56,华语男歌手,1040062,Akber
57,华语男歌手,1161024,AC周予天
58,华语男歌手,1045019,阿尔达克
59,华语男歌手,1883,阿超
60,华语男歌手,1102011,阿尔法
61,华语男歌手,1961,阿译
62,华语男歌手,1039804,阿鬼
63,华语男歌手,854301,安平
64,华语男歌手,789918,阿原
65,华语男歌手,1925,奥杰阿格
66,华语男歌手,2019,安德烈
67,华语男歌手,1894,阿正
68,华语男歌手,975128,Arda
69,华语男歌手,1902,阿振
70,华语男歌手,862110,敖日格乐
71,华语男歌手,893266,A3
72,华语男歌手,1932,阿温
73,华语男歌手,1132165,任莫醒r
74,华语男歌手,1924,安志顺
75,华语男歌手,1087658,aMiR
76,华语男歌手,1043424,傲艺
77,华语男歌手,1904,阿爆
78,华语男歌手,1078310,Alex.x
79,华语男歌手,1021394,阿四龙
80,华语男歌手,1048056,阿男
81,华语男歌手,203228,Ap
82,华语男歌手,1934,阿伦
83,华语男歌手,1049049,allan.X
84,华语男歌手,687028,阿龙
85,华语男歌手,1081117,Azoy
86,华语男歌手,1977,A-JING
87,华语男歌手,1047377,艾尼瓦尔江
88,华语男歌手,1910,阿德
89,华语男歌手,805076,ANNER
90,华语男歌手,1889,阿贵
91,华语男歌手,996103,Armada Music
92,华语男歌手,1916,阿鹏
93,华语男歌手,1927,阿乐
94,华语男歌手,1926,阿拉腾傲刀
95,华语男歌手,1039409,As王顺
96,华语男歌手,1920,艾玮伦
97,华语男歌手,804153,A-Show
98,华语男歌手,1026052,艾扬威
99,华语男歌手,222664,ABD
100,华语男歌手,1039011,Bilal&nbsp;Enwer
101,华语男歌手,2059,毕书尽
102,华语男歌手,1131033,拜合提亚bahtiyar aziz
103,华语男歌手,1181417,拜合提亚尔塔依尔
104,华语男歌手,777662,白水
105,华语男歌手,2116,陈奕迅
106,华语男歌手,2112,陈小春
107,华语男歌手,2115,陈百强
108,华语男歌手,2122,陈冠希
109,华语男歌手,2201,陈势安
110,华语男歌手,2034,鲍比达
111,华语男歌手,2104,Beatsound
112,华语男歌手,909029,白举纲
113,华语男歌手,1060060,斑辣个马
114,华语男歌手,2127,陈柏宇
115,华语男歌手,1058228,陈鸿宇
116,华语男歌手,2117,侧田
117,华语男歌手,2111,崔健
118,华语男歌手,2026,布仁巴雅尔
119,华语男歌手,2060,白羽
120,华语男歌手,2063,白玛多吉
121,华语男歌手,1094177,包威尔
122,华语男歌手,791534,戴荃
123,华语男歌手,2516,迪克牛仔
124,华语男歌手,2517,刀郎
125,华语男歌手,2515,窦唯
126,华语男歌手,2121,蔡旻佑
127,华语男歌手,2124,陈楚生
128,华语男歌手,963409,陈学冬
129,华语男歌手,1048054,Braska
130,华语男歌手,2087,波拉
131,华语男歌手,2098,暴林
132,华语男歌手,2065,布川
133,华语男歌手,1054040,冰块先生
134,华语男歌手,2514,蛋堡
135,华语男歌手,2578,大冰
136,华语男歌手,2623,邓超
137,华语男歌手,2513,冬子
138,华语男歌手,2699,东篱
139,华语男歌手,896894,贰佰
140,华语男歌手,1039899,eliaqsopa
141,华语男歌手,189955,贰婶
142,华语男歌手,2159,曹轩宾
143,华语男歌手,2118,成龙
144,华语男歌手,2153,常石磊
145,华语男歌手,2125,陈晓东
146,华语男歌手,2055,白天不亮
147,华语男歌手,2033,包朝克
148,华语男歌手,2049,卞留念
149,华语男歌手,1060169,BRAVEE
150,华语男歌手,2607,多亮
151,华语男歌手,188681,大鹏
152,华语男歌手,5068,单色凌
153,华语男歌手,1057271,Dilshad&nbsp;Ghopur
154,华语男歌手,2518,东来东往
155,华语男歌手,1085108,哦漏
156,华语男歌手,2714,EDIQ
157,华语男歌手,1046270,ETIRAZ
158,华语男歌手,2722,E.SO
159,华语男歌手,2134,陈坤
160,华语男歌手,2150,陈冠蒲
161,华语男歌手,2135,陈勋奇
162,华语男歌手,2131,川子
163,华语男歌手,816079,薄彩生
164,华语男歌手,1085053,变奏的梦想
165,华语男歌手,2103,血男孩
166,华语男歌手,2032,贝玛千贝仁波切
167,华语男歌手,1081384,白不二
168,华语男歌手,1038381,DJ张扬
169,华语男歌手,2569,丁可
170,华语男歌手,896942,冬子
171,华语男歌手,2545,丁于
172,华语男歌手,1053149,EDMarco
173,华语男歌手,966153,EdJean
174,华语男歌手,2727,二文
175,华语男歌手,1043383,Elvins.J
176,华语男歌手,1135273,Eric
177,华语男歌手,2331,陈翔
178,华语男歌手,6862,曾志豪
179,华语男歌手,2164,陈伟霆
180,华语男歌手,2110,曹格
181,华语男歌手,2048,百慕三石
182,华语男歌手,1047011,白客
183,华语男歌手,1047238,白挺
184,华语男歌手,1057198,B.C.W.懒领阶级
185,华语男歌手,2524,大张伟
