用户id,昵称,魅力总收入,房间游戏总计
5ab99f048ea6a06934482211,lucky兔兔,10682,1821150
5abcc67f8ea6a041bb2702c2,星辰丶肉多多,29133,2959240
5a77281a8ea6a006f4327314,GS_一霏,2004,1074320
5ab7a9fb8ea6a0693445ebc5,HQ瑶瑶小朋友,1820,17740
5ac08dea8ea6a005d206d818,九五、斑马,26035,2286490
5ac315c08ea6a005d208bd24,星辰❤想静静,102,1300
5ac0915f8ea6a005d206dc01,kingIric,792,88520
5ab79baa8ea6a0693445cee7,小晨,340194,20910
5ac075d98ea6a005d206bd07,九五、吖吖吖吖,38273,2508335
5ac311938ea6a005d208b744,Lucky芊芊呀,6519,73080
5ab629f28ea6a06934431c60,QM-糖果,0,385
5abb36d88ea6a02a8922b664,九五丑丑,7331,3728680
5ac86d8f8ea6a005fb23cdc9,lucky 畅畅,70,430150
5ac370ff8ea6a005d2092b0f,QM橘子汽水,10,5700
5ac3173e8ea6a005d208becb,lucky辣辣,170,223400
5ab9bc178ea6a0693448264f,豆芽,4528,1877110
5ac06d798ea6a005d206b4db,九五 猫饵,5774,1349030
5abc4f6f8ea6a041bb26c6e1,AS-郑苧儿,4605,687965
5ab8a7558ea6a0693447bd20,lucky☘️林,3862,2315760
5ac317ad8ea6a005d208bf17,lucky啵啵,122,464200
5abf6b948ea6a005d2061342,lucky妮子,20,140540
5ab8b9a98ea6a0693447c603,AS~考拉,666,1028630
5abfc72f8ea6a005d20676a1,Lucky冰山,3500,2202545
5ab730178ea6a0693444fcf6,彼岸 早安喵,11624,1869980
5ab932228ea6a06934480f5d,lucky静,3143,1695260
5ab9ade78ea6a0693448242a,lucky 晨晨,30253,2108560
5ab88f778ea6a069344795ce,AS兜兜,0,687550
5ac60ed28ea6a005d20b3300,Lucky小萌妹,1048,961310
5a96b67f8ea6a005e5883136,你的小哥哥🌚,1102,43930
5ac885438ea6a005fb23f3ff,V+哈尼,7590,4251370
5ac068708ea6a005d206b0a8,lucky慧慧,6806,819980
5ab8a0a28ea6a0693447b5a5,星辰、道道,3585,1685040
5ab9aad68ea6a06934482385,lucky小太阳,17150,2094230
5abef9d48ea6a005d205a13f,星辰、奶茶妹妹,3460,1710090
5ac844bc8ea6a005fb23a17c,Lucky刺痛,10560,1119690
5ac3a0a98ea6a005d20969fc,QM少女,0,267380
5ac60a5a8ea6a005d20b2b14,星辰、梦梦,1046,23020
5ac76b148ea6a005d20c6f09,九五、飘飘,5400,169000
5ac223568ea6a005d2082cd5,星月✨向阳花🌺,220,1237080
5ac87a6f8ea6a005fb23e27a,CC、云云酱,378,42390
5ac085a48ea6a005d206cf7b,星辰 糖糖,796,6580
5ab7fe1b8ea6a06934468a0c,HQ欣欣,160,1993970
5a8c41fa8ea6a005e5654075,GS_嫊颜,4737,1028255
5ac64b528ea6a005d20b942f,阳光☀️小范范呀,197244,5621040
5ac7a9258ea6a005d20ccafe,lucky-团团,1016,1453830
5abe23128ea6a041bb27caba,Lucky奥妹妹,8819,1922215
5abf0d838ea6a005d205af81,lucky暖暖,560,572460
5ac21ebc8ea6a005d208281c,星月简单的猪宝,106,103430
5ab7ab2c8ea6a0693445ee45,HQ二染,208,1855950
5ac0dd4c8ea6a005d2073456,星晨、是宝儿呀,3475,39020
5ac1efc78ea6a005d207ee90,luckySha,156,334605
5a9cde6a8ea6a005e59c914a,AS~小花,4540,2800100
5ac04e988ea6a005d2069e4c,lucky夏朵朵,428,263300
5ac494d78ea6a005d209f963,CC、迪哥,9690,64650
5ac06e458ea6a005d206b562,星辰微宝宝,90,650
5ac065f28ea6a005d206ae13,星辰.欣,40,234600
5ac0b3ca8ea6a005d20702e3,星辰芒果,0,3740
5ab674558ea6a0693443a4d3,QM茜茜,90,477085
5ac0cb748ea6a005d2071c64,星辰、小糖豆,2328,1602230
5ac315508ea6a005d208bc84,Lucky 雨昂,142,17670
5abf94cf8ea6a005d2064942,九五、摸摸,8201,3054550
5a69878d8ea6a005c9836f0e,HQ小可爱兰宝,11703,1290260
5ac1d50b8ea6a005d207cdc9,然然ꦿོ゜এ,100,400
5abf52168ea6a005d205f421,lucky艺菲菲,10579,1480290
5ab89b068ea6a0693447acd6,九五丶潼心,24663,3228930
5ab637dc8ea6a06934433601,Qmwtay,534,1703520
5abcbcee8ea6a041bb26fc49,小希儿,0,70660
5ac06a058ea6a005d206b243,King咩咩～,442,781980
5ab899608ea6a0693447a985,星辰、十二,76638,4285380
5abf12d48ea6a005d205b344,星辰、小小舒🌶,24073,6175980
5ab62e6b8ea6a0693443249a,lucky萌妹子,0,192900
5ac05ff28ea6a005d206aa1b,星辰、小奶音,756,26960
5ab64d8c8ea6a06934435daa,QM壹七壹八,3662,1818180
5ac0a0ee8ea6a005d206edc7,星辰、大G妹妹,0,21510
5abde05c8ea6a041bb278460,lucky高高宝,6154,2718380
5ac07a698ea6a005d206c1c3,星辰小公举,72,4340
5abd1d8a8ea6a041bb274315,Lucky落落,86,98540
5ac655928ea6a005d20b9e6f,lucky球球,3188,589960
5ac867f48ea6a005fb23c515,Lucky粥粥 ,132,1200
5ab99c158ea6a06934482095,星辰、懒懒,72887,3549910
5a670c938ea6a00725498d91,彼岸依梦呀,31025,5166350
5ac04eae8ea6a005d2069e58,lucky月哥,2216,2832670
5abf54058ea6a005d205f65d,lukcy君,50,332840
5ac080758ea6a005d206c8dd,HQ傻傻💓童话,14250,3376620
5ab9b8c98ea6a06934482612,星辰小哆啦,889,1886550
5abe2dc08ea6a041bb27d843,九五、橙子,6888,2308930
5ac06cb48ea6a005d206b3ff,Lucky小可爱,1052,507840
5ac488a38ea6a005d209ec40,CC、兔子,209137,6133980
5ab9c1838ea6a069344826c1,Iucky宝宝,100,294470
5ac7b7e18ea6a005d20cd8c7,lucky阿de,1550,1149320
5ab5e65d8ea6a0693442a0af,Q m 大姐姐,5148,3237980
5ac631ba8ea6a005d20b6de5,星辰林小美,0,1040
5ac5fafe8ea6a005d20b197b,AI向洋,81702,465265
5ab9fb728ea6a06934484106,QM小巫,5115,722010
5ac070878ea6a005d206b7a2,彼岸🍬蜜糖,2819,3457570
5ac7a1548ea6a005d20cc1e5,lucky 糖糖,1146,639720
5ab9dff78ea6a06934482ea4,AS六六,19216,337125
5ac358f48ea6a005d2090e95,QM 小粉红,240,28000
5ac06e678ea6a005d206b586,九五、可可儿,11774,2328905
5ac068418ea6a005d206b011,Lucky番茄哇,1527,115800
5abdfd558ea6a041bb27a2c2,星辰、软猫,13000,933330
5abf6ef38ea6a005d20616f6,lucky陈鸢一,30,530060
5ac5e4f58ea6a005d20aff05,luck💕布丁,14810,2579650
5ac07c0c8ea6a005d206c40b,星辰卷卷兒,156,904005
5ac4d6df8ea6a005d20a5668,九五、小可爱,4711,650780
5ac6ccf58ea6a005d20bc738,CC暴躁甘,12244,953290
5ac041c08ea6a005d2069689,星辰、腿腿,628,360980
5ab873e08ea6a0693447622b,lucky韩温柔,5823,786020
5abf0e2f8ea6a005d205b009,彼岸、喵咪,38114,6035445
5ac7a4f18ea6a005d20cc645,Lucky大眼萌,3525,1825480
5ac65d8d8ea6a005d20ba519,lucky奈奈,1340,1129680
5ac07dbb8ea6a005d206c59a,彼岸-大白,70370,3752900
5ab8e2e68ea6a0693447de4b,星辰、小仙女,4435551,21086360
5ac8a5d08ea6a005fb242365,TxAb,0,389300
5abf3c228ea6a005d205da5a,彼岸+平胸妹,374,319420
5abe4e4d8ea6a041bb280136,lucky朵朵,6856,2465375
5ac715a58ea6a005d20c02ae,哦哦哦,86,2514510
5ac869f68ea6a005fb23c7dc,lucky啾啾啾,1498,1210570
5ab876038ea6a0693447662d,星辰丶小白,199173,5794670
5ab8b2ad8ea6a0693447c2bb,HQ餐餐,17072,2183250
5ab872d38ea6a06934476030,TM丶曦儿,4474,475210
5ac315d98ea6a005d208bd74,lucky嘉,76,696190
5ab9a7848ea6a06934482339,啦啦啦啦,20359,1878800
5ac5d1368ea6a005d20ae7f8,luck-五岁呀,0,15120
5ab89f628ea6a0693447b4ed,星辰、小蹦哒,35834,4849040
5abf70788ea6a005d20619cb,Lucky徐鹿鹿,30,22790
5abf3e958ea6a005d205dc9a, 星辰-圆圆,30,9810
5abf6d818ea6a005d206158b,lucky小可爱,0,5900
5abf9bc58ea6a005d206520f,星辰、小鬼,28461,2667020
5abda1b98ea6a041bb27589d,九五 、米可,4250,2008300
5ac0a6e38ea6a005d206f3bf,星辰❤晴儿,0,7300
5ab84d478ea6a06934471a83,QM我,1182,58490
5ac06a2c8ea6a005d206b25a,星辰哩哩,0,4140
5ab880ff8ea6a06934477af2,lucky 博,122437,2602850
5ac5dc5c8ea6a005d20af4f5,lucky＋小小,1060,243870
5ac8ca588ea6a005fb24683f,V+清妹儿,1852,1280920
5ac36d408ea6a005d2092546,星辰、肥肥,1300,193190
5ac1906b8ea6a005d2078955,星辰女施主,2876,1774490
5ac8a8398ea6a005fb2428c8,A+潇潇,240180,4431170
5abc6e168ea6a041bb26ca56,lucky晨风,50,288010
5ac351b88ea6a005d20905ca,QM橘猫,66,14415
5ac7ad2d8ea6a005d20ccf8e,lucky然然,40,305255
5ac0bd4f8ea6a005d2070db9,迷糊小女人,0,29200
5ac60aba8ea6a005d20b2ba3,lucky念儿,800,837475
5ab797998ea6a0693445c5c9,GS_瑶,10137,4011910
5ac98c9e8ea6a005fb2505b9,lucky杨宝つ,0,3330
5abf06508ea6a005d205a921,星辰、遥,18831,1042370
5ab9f6f78ea6a06934483b9c,QM橘子酱,440,1663595
5abd12698ea6a041bb273fc0,lucky娜娜,408,1119080
5ab864128ea6a06934474462,lucky☘️梦,1298,6070610
5a58280d8ea6a005db808bd3,GS_小布点,3694,2662090
5a1246401d41c8064627c1c9,游侠UFO,0,1000
5ab8d0268ea6a0693447d67a,lucky小酒,1510,142960
5ab6504b8ea6a069344362bd,QM岳儿,7895,1728350
5ac6430d8ea6a005d20b88a4,lucky猪蹄,3530,972850
5ac096258ea6a005d206e254,九五、静爷,4782,2746435
5ac2f58f8ea6a005d2089a4b,lucky茹茹,366,2482070
5a61fbfb8ea6a005dba09fb6,彼岸(⺣◡⺣)喵,417315,14586890
5ac494de8ea6a005d209f96e,CC、迪妹,21142,383780
5ac5cf438ea6a005d20ae512,Lucky霖喜喜,0,2300
5ab95d508ea6a069344815be,Lucky…雅,20128,2324850
5ab9bc7a8ea6a06934482655,AS小傻,206,6290
5a2bbcdc1d41c81a656551f7,king莎小宝,5954,896020
5ab87ff68ea6a069344778f1,星辰、二豆,4474,701380
5aba0d988ea6a06934485727,QM钰莹,20,674960
5ab785fc8ea6a0693445a230,HQ喵咪～,7525,2253530
5ac7b9f68ea6a005d20cda83,九五丶老湿湿,1672,1410900
5a72eef78ea6a006f425d389,GS_欧尼,3080,1644760
5ac317578ea6a005d208bed5,lucky千阳,0,820320
5ab8a6bb8ea6a0693447bcb2,AS.俊 哲🍃,0,33190
5a62ebec8ea6a005dba37eb1,彼岸℡楚,13886,7472520
5ab904278ea6a06934480140,Lucky颜公子,36748,7866110
5ac62c088ea6a005d20b6560,九五、白鹿,3096,503770
5ac053df8ea6a005d206a211,Lucky桃子,250,22490
5ac65f928ea6a005d20ba684,lucky-c耶,0,279850
5ab8a4528ea6a0693447b7e7,lucky妖儿,2792,749840
5ab7a4dd8ea6a0693445e12e,HQ 小婊砸啊,0,2425
5abc42048ea6a041bb26c4fb,lucky阿薇,428,227500
5ab7abf48ea6a0693445efdd,星辰小鱼儿,30,5780
5aba194c8ea6a06934485ae2,Lucky欧阳,86,1577680
5abd12f98ea6a041bb273feb,星辉—小井,30,525840
5ac718068ea6a005d20c0557,Iucky蜜桃,274,610200
5abf6fa38ea6a005d2061850,lucky微风,818,1504980
5ab9b7ef8ea6a0693448257c,lucky小虎牙,68377,1899385
5abf9be28ea6a005d2065243,九五、圆子,2058,733660
5a7032b88ea6a006f41d8513,GS_雨果,11738,2568430
5ac9ed788ea6a005fb258cab,性感小猫咪,11260,81170
5ab79bcc8ea6a0693445cf33,lucky闹闹,216650,14870070
5ac38c6b8ea6a005d2095114,星辰-左左,3117724,31028030
5ac2f9c48ea6a005d2089e11,lucky-语晗,202,181510
5ac311998ea6a005d208b752,luckyˉ子瑾,242,865470
5ac8a1948ea6a005fb241c91,TX 美女,2009,170460
5ac39e7a8ea6a005d20967da,QM涂涂,516,1190820
5ac073738ea6a005d206ba7b,lucky七七,338,663330
5a6178488ea6a005db9f93c5,彼岸涵涵,1788440,13365410
5a4b34171d41c80fbdbefa27,GS_欢宝吖,52712,2906320
5ac45ce88ea6a005d209bd66,QM是面包呀,1712,645055
5ac5d2038ea6a005d20ae971,lucky糖糖,846,212705
5ac98cb48ea6a005fb2505cb,lucky香槟,640,758030
5ac30c168ea6a005d208b16e,king 77,0,0
5ab9b0358ea6a0693448247a,lucky仙女儿,5886,3139770
5ac0802b8ea6a005d206c891,king你的淼儿,710,2000
5ab626508ea6a069344315a9,lucky小安,50,1150
5ab9ec0c8ea6a06934483643,茵茵呢,0,1400
5ac044ea8ea6a005d20698d8,King五雷轰顶,2700,1910
5ac05f728ea6a005d206a9d2,彼岸-云朵,30,9800
5ac079ae8ea6a005d206c106,king小岚姐姐,0,720
5aba4bf98ea6a02a8922af78,99,7367,157530
5ac06ea28ea6a005d206b5b5,星辰 迪士尼,10,22720
5ac3162a8ea6a005d208bdd6,Lucky可爱,30,239730
5ac7239f8ea6a005d20c12e4,九五、萱萱,5414,3569120
5ac719d48ea6a005d20c0795,星辰Summer,10888,465770
5ab9e7368ea6a06934483320,星辰丶小水泥,40609,10784920
5a6043218ea6a005db9b8a5b,彼岸-软甜萌,5014,5551030
5ab93c4f8ea6a069344810f3,lucky丸子,8683,3202930
5ac04ccb8ea6a005d2069cca,lucky小妮,188,5670
5a6055ea8ea6a005db9bb3a9,彼岸爽妹,30481,3256260
5ac072d08ea6a005d206ba04,king 西西,10,4005
5ab9aefd8ea6a0693448244d,lucky我的神,20329,2229790
5ac0c8108ea6a005d20718c2,哧哧,0,530670
5ab8e88c8ea6a0693447e68c,星辰  茉茉,12532,1173220
5ab8acb18ea6a0693447bfd1,QM十二,2876,1007775
5ac5d16e8ea6a005d20ae83b,lucky me,20,346970
5ac315d48ea6a005d208bd41,lucky 慧,544,220950
5ac9f3f78ea6a005fb25998d,性感火火,720,690850
5ac612f58ea6a005d20b3b81,lucky吧啦啦,40,170
5ac65ab88ea6a005d20ba2b0,lucky晴天,868,642350
5ac04c6a8ea6a005d2069c82,lucky猪妹,1240,346620
5ab60f328ea6a0693442eb57,QM安心,328,3655200
5ac4b67b8ea6a005d20a233e,CC、仙女云,112,114180
5ac1ead18ea6a005d207e819,King 小田甜,0,2200
5ac0510e8ea6a005d206a051,lucky小静静,30,270
5abfbc3e8ea6a005d2067112,lucky豌豆,3015,586270
5abc43b58ea6a041bb26c510,小叔叔,0,13370
5ac5cc718ea6a005d20ae266,星辰-月亮🧚,0,2000
5ac5fbd08ea6a005d20b1ae0,CC、小可爱,19473,2407320
5ab9de138ea6a06934482df4,星辰、澜澜,240,950
5ac5c39c8ea6a005d20ad919,星辰金灿灿,10,13000
5ac717188ea6a005d20c047f,星辰-小迷妹,1744,1979820
5ab8b62b8ea6a0693447c41d,QM小跳,282,580640
5ac22a018ea6a005d20835e2,星月-丸子头,13195,296090
5a6176968ea6a005db9f8f58,彼岸九九酱,8944,3989530
5ac60e3d8ea6a005d20b322b,九五、哩哩,186,148890
5a127d951d41c8064628a57f,夫迈冰岛,0,30
5abf79558ea6a005d20625d8,星辰、逗逗,610,220810
5ac991838ea6a005fb2509e5,lucky婷哈哈,116,171610
5ab8c8f98ea6a0693447d04f,Lucky—阿绿,0,168725
5ab8e2bb8ea6a0693447de2a,星辰夕蓓贝yi,2286,1227470
5abfcdc38ea6a005d20678a6,星辰☀田田,4672762,38420430
5abf94e68ea6a005d2064962,星辰、浪子同学,5390,730030
5ac1ee218ea6a005d207ecbe,九五-温柔泡,4885,2413720
5ac0699d8ea6a005d206b1fc,奥莉,108,1770
5ac21d478ea6a005d208266f,九五丶小念念,2970,1124785
5ac89dd38ea6a005fb2416a2,九五-卡卡c,880,25340
5ab87ecf8ea6a069344776cb,星辰丶小肉肉,3913,160250
5ac04df88ea6a005d2069da5,lucky美伢,0,54400
5ab88b958ea6a06934478ed2,星辰、坏坏LoL,180,460300
5ac1e4e98ea6a005d207e07e,人生只若初见,0,400
5ab7a7b58ea6a0693445e749,QM丹丹丹丹丹,386,29950
5abc41388ea6a041bb26c4f6,lucky阿鑫,42345,1131440
5abda2068ea6a041bb2758ff,lucky吱吱,60,129430
5ac75bdc8ea6a005d20c53c3,Lucky➕Az,2784,953660
5ac802e68ea6a005d20cf40c,Lucky叮叮,14926,1620740
5ac6de538ea6a005d20bd087,lucky甜啤,1064,482290
5ab8d71d8ea6a0693447d96d,HQ你的小宝贝,1410,35595
5ac718ab8ea6a005d20c0668,星辰小倪子,1210,432530
5ab5e5108ea6a06934429e4d,Lucky林林,5566,2170895
5ac1d8e98ea6a005d207d336,lucky花,23952,1765810
5abde0758ea6a041bb27847a,lucky笑笑,70,1044690
5ab89e3a8ea6a0693447b3f2,星辰、淼淼,240,654040
5ab9b70e8ea6a06934482565,星辰、你王哥阿,28683,1511190
5ac71bf18ea6a005d20c0a1a,lucky兔子,76,152610
5abdc62b8ea6a041bb277266,luckywa好,680,1203160
5ac834d98ea6a005fb238dae,Lucky.六六,810,333240
5ab874758ea6a0693447633f,lucky☘️默,638,756180
5ac5dbb78ea6a005d20af452,lucky小伊人,3640,528580
5ac4d9618ea6a005d20a59b0,九五、叶子🍃,11050,417060
5ac447408ea6a005d209a8c5,星辰❤小美美,2410251,6911500
5acaefe48ea6a005fb2692ed,Lucky可爱多,120,383980
5abfa3b58ea6a005d2065c9f,星辰ゞ,824,582090
5ac76cf68ea6a005d20c7240,lucky哈哈,2014,727050
5ab65f068ea6a06934437de5,Iucky陈宝宝,1093,806720
5a6042ac8ea6a005db9b8992,Lucky赫然拉,290,1496730
5ab74a148ea6a06934452d5e,彼岸微笑,16299,5732020
5ab7a4ea8ea6a0693445e149,༄星辰传媒༅,770103,351000
5ac44f928ea6a005d209b1b9,TM、佐佐,1350,815930
5abf6b638ea6a005d20612fc,lucky菲儿,240,574110
5ab885518ea6a06934478306,九五丶妞妞,22376,1113720
5aca01358ea6a005fb25af55,TX苦李子,0,90
5ac0afab8ea6a005d206fe24,TM.、瑶瑶,38775,2209900
5ac0584b8ea6a005d206a4ce,星辰 不不不,0,310
5abfbc518ea6a005d206711f,lucky姽婳,30,432150
5ab65a158ea6a069344374da,QM宝儿,1587,11370
5ac712da8ea6a005d20bffdc,lucky象象,0,206650
5ac398898ea6a005d2095fd3,QM 家家🤡,0,1800
5abd95138ea6a041bb275033,lucky蜜糖,1476,1105500
5ab885c38ea6a069344783f6,星辰、乔乔,5539,1734350
5ab656748ea6a06934436e28,QM哇喔,670,2118920
5ac317188ea6a005d208bea7,星月☞豆豆丫”,270,97460
5ac9f8218ea6a005fb25a066,TX苹果,0,20
5ab8b25d8ea6a0693447c29d,Lucky LL,5042,2621330
5ab9c4768ea6a06934482753,Lucky依依,4229,1444470
